,Age,Attrition,Department,DistanceFromHome,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,WorkMeanTime,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
0,51,No,Sales,6,1,1,Female,1,Healthcare Representative,Married,131160,11,8,0,1.0,6,1,0,0,0 days 07:20:31.214592274,3,3,3.0,4.0,2.0
1,31,Yes,Research & Development,10,1,2,Female,1,Research Scientist,Single,41890,23,8,1,6.0,3,5,1,4,0 days 07:41:11.037974683,2,4,3.0,2.0,4.0
2,32,No,Research & Development,17,1,3,Male,4,Sales Executive,Married,193280,15,8,3,5.0,2,5,0,3,0 days 06:59:03.765432098,3,3,2.0,2.0,1.0
3,38,No,Research & Development,2,1,4,Male,3,Human Resources,Married,83210,11,8,3,13.0,5,8,7,5,0 days 07:09:47.508474576,2,3,4.0,4.0,3.0
4,32,No,Research & Development,10,1,5,Male,1,Sales Executive,Single,23420,12,8,2,9.0,2,6,0,4,0 days 07:58:25.065040650,3,3,4.0,1.0,3.0
5,46,No,Research & Development,8,1,6,Female,4,Research Director,Married,40710,13,8,0,28.0,5,7,7,7,0 days 10:45:02.642857142,3,3,3.0,2.0,2.0
6,28,Yes,Research & Development,11,1,7,Male,2,Sales Executive,Single,58130,20,8,1,5.0,2,0,0,0,0 days 06:53:37.879828326,3,4,1.0,3.0,1.0
7,29,No,Research & Development,18,1,8,Male,2,Sales Executive,Married,31430,22,8,3,10.0,2,0,0,0,0 days 06:41:53.004098360,3,4,1.0,2.0,3.0
8,31,No,Research & Development,1,1,9,Male,3,Laboratory Technician,Married,20440,21,8,0,10.0,2,9,7,8,0 days 07:12:18.619047619,3,4,2.0,4.0,3.0
9,25,No,Research & Development,7,1,10,Female,4,Laboratory Technician,Divorced,134640,13,8,1,6.0,2,6,1,5,0 days 07:02:59.855319148,3,3,2.0,1.0,3.0
10,45,No,Research & Development,17,1,11,Male,2,Laboratory Technician,Married,79910,13,8,2,21.0,2,20,4,10,0 days 08:22:07.537190082,2,3,3.0,4.0,3.0
11,36,No,Research & Development,28,1,12,Male,1,Laboratory Technician,Married,33770,12,8,2,16.0,2,15,10,11,0 days 07:02:23.078512396,3,3,3.0,4.0,3.0
12,55,No,Research & Development,14,1,13,Female,1,Sales Executive,Single,55380,17,8,0,37.0,2,36,4,13,0 days 09:15:39.486956521,3,3,4.0,1.0,3.0
13,47,Yes,Research & Development,1,1,14,Male,1,Research Scientist,Married,57620,11,8,2,10.0,4,10,9,9,0 days 09:21:36.364406779,2,3,1.0,2.0,2.0
14,28,No,Research & Development,1,1,15,Male,1,Manufacturing Director,Married,25920,14,8,0,5.0,2,5,0,4,0 days 06:03:52.285123966,3,3,4.0,4.0,2.0
15,37,No,Research & Development,1,1,16,Male,2,Healthcare Representative,Married,53460,11,8,0,7.0,2,5,0,1,0 days 06:40:37.205882352,3,3,3.0,4.0,4.0
16,21,No,Research & Development,3,1,17,Male,1,Laboratory Technician,Single,42130,12,8,3,3.0,3,3,1,0,0 days 06:35:24.035087719,2,3,4.0,3.0,4.0
17,37,No,Research & Development,1,1,18,Male,2,Sales Executive,Divorced,41270,13,8,1,15.0,2,5,0,2,0 days 10:58:11.048582995,3,3,1.0,4.0,3.0
